Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y,X,Y
5.968771512610301,5.676658930079984,6.3423868827836545,5.675244840920106,,,7.674948369735278,6.054606806271374
6.080856123662307,5.622754895372781,6.44616893005403,5.615758607207538,,,7.836848363477065,6.002679589331461
6.180486889041868,5.57395556565215,6.549950977324405,5.566660483080134,,,7.986294511546406,5.950457210195425
6.280117654421429,5.526293620192669,6.6910945616121165,5.512295138299828,,,8.110832968270856,5.901002498295302
6.37974841980099,5.4729447534274405,6.815633018336568,5.463750333808625,,,8.247825270667752,5.849741495765939
6.463367097887406,5.404982067068312,6.9401714750610175,5.4142956219085026,,,8.397271418737093,5.799858878538554
6.57900995056011,5.342930642543424,7.064709931785469,5.362111187781621,,,8.546717566806434,5.74732236470182
6.678640715939672,5.293562620692219,7.18924838850992,5.31129161476812,,,8.68370986920333,5.695985536555048
6.778271481319232,5.242374784023174,7.31378684523437,5.254557643596641,,,8.820702171600226,5.645255313347554
6.877902246698794,5.190403415974227,7.450779147631266,5.2005669188405195,,,8.957694473997122,5.591643716678482
6.977533012078354,5.140340325963431,7.600225295700607,5.1461347645685365,,,9.07600600788535,5.520230726443878
7.059728393516492,5.093683092474945,7.749671443769948,5.091702610296554,,,9.219225233118468,5.462379657294148
7.1767945428374755,5.042741666522169,7.911571437511736,5.0398837156672265,,,9.331309844170475,5.413252636483772
7.273934539082546,4.985181773152969,8.073471431253521,4.987035759087334,,,9.455848300894926,5.365617739401488
7.371904791705781,4.938503757494671,8.247825270667752,4.9307350127573,,,9.580386757619376,5.314798166387986
7.537956067338381,4.887718432878772,8.459540647099319,4.882436528821108,,,9.717379060016272,5.264447071267542
7.7247637524250585,4.835384975073714,8.68370986920333,4.831624048493182,,,9.839426747606234,5.205890580440506
7.92402528318418,4.782807775969612,8.920332936979786,4.786107610366749,,,9.937397000229469,5.155497109529119
8.1232868139433,4.732694909431334,9.181863696101134,4.73301727690866,,,10.07854058451718,5.100146031722485
8.359909881719759,4.685388527184829,9.455848300894926,4.69092139568772,,,10.203079041241631,5.049326458708983
8.63389448651355,4.641431471718374,9.729832905688717,4.657924588555975,,,10.340071343638526,4.9982171074144395
8.907879091307342,4.6040919246804215,10.00381751048251,4.625754969977793,,,10.477063646035422,4.940435101787821
9.181863696101134,4.568406754749596,10.277802115276302,4.594826134229956,,,10.601602102759873,4.895074973227835
9.455848300894926,4.544922615983827,10.551786720070092,4.572789575432923,,,10.73859440515677,4.840553469149844
9.729832905688717,4.526608405677829,10.825771324863885,4.548685045251981,,,10.925402090243445,4.791596056691371
10.00381751048251,4.505605832572749,11.099755929657677,4.53264560346828,,,11.162025158019903,4.74099930219847
10.277802115276302,4.487912013681921,11.37374053445147,4.515985770269408,,,11.423555917141249,4.69491939173183
10.551786720070092,4.472906557590175,11.64772513924526,4.500566719900879,,,11.697540521935041,4.65282351051089
10.825771324863885,4.459141884328773,11.921709744039052,4.489490409438557,,,11.971525126728833,4.619413109102363
11.099755929657677,4.4476519795896685,12.195694348832845,4.4757257361771545,,,12.245509731522624,4.591586230430387
11.37374053445147,4.434714494881829,12.469678953626635,4.466510599960349,,,12.519494336316416,4.565620526003929
11.64772513924526,4.425499358665025,12.743663558420428,4.455641086636419,,,12.793478941110209,4.546479127144368
11.921709744039052,4.417938599555346,13.01764816321422,4.448080327526739,,,13.067463545904,4.52899210539193
12.195694348832845,4.409550651892104,13.291632768008013,4.44031277127867,,,13.341448150697792,4.510677895085932
12.469678953626635,4.401989892782425,13.565617372801803,4.433579200722555,,,13.615432755491584,4.497120018962919
12.743663558420428,4.392154365150448,13.839601977595596,4.424777658782531,,,13.889417360285377,4.485836911362207
13.01764816321422,4.386247983147895,14.113586582389388,4.4186644796415875,,,14.163401965079167,4.47103825240885
13.291632768008013,4.379721209730171,14.387571187183179,4.410276531978346,,,14.43738656987296,4.458100767701012
13.565617372801803,4.374642016281181,14.661555791976971,4.409746875573955,,,14.71137117466675,4.449092428622597
13.839601977595596,4.369976417108974,14.935540396770763,4.40363369643301,,,14.985355779460543,4.439670495267402
14.113586582389388,4.361795266584123,15.209525001564556,4.3956593430465505,,,15.259340384254335,4.431696141880941
14.387571187183179,4.355475290304788,15.483509606358348,4.39285491811986,,,15.533324989048127,4.4212402228337915
14.661555791976971,4.354945633900396,15.757494211152137,4.386121347563744,,,15.80730959384192,4.412438680893768
14.935540396770763,4.346764483375545,16.03147881594593,4.382696531221881,,,16.081294198635714,4.405084718922481
15.209525001564556,4.3445804498640275,16.305463420739724,4.37989210629519,,,16.355278803429506,4.398144351227974
15.483509606358348,4.338053676446302,16.579448025533516,4.378121667060453,,,16.629263408223295,4.393685549194157
15.757494211152137,4.3338016715508765,16.85343263032731,4.3722152850579015,,,16.903248013017087,4.3855043986693065
16.03147881594593,4.331824435177749,17.1274172351211,4.364861323086613,,,17.17723261781088,4.3808387994970985
16.305463420739724,4.32405687892968,17.401401839914893,4.3651588552357845,,,17.451217222604672,4.380929534507879
16.579448025533516,4.322906831110115,17.675386444708685,4.365456387384956,,,17.600663370674013,4.379023853387155
16.85343263032731,4.315346072000436,17.949371049502474,4.365753919534127,,,18.173540271606488,4.352348743795111
17.1274172351211,4.307992110029148,18.223355654296267,4.366051451683298,,,18.44752487640028,4.3526462759442826
17.401401839914893,4.30828964217832,18.49734025909006,4.365728592417296,,,18.721509481194072,4.3465330968033395
17.675386444708685,4.307553188635536,18.77132486388385,4.359822210414745,,,18.99549408598786,4.343315077599867
17.949371049502474,4.302060400909765,19.045309468677644,4.360119742563915,,,19.269478690781654,4.337201898458924
18.223355654296267,4.3023579330589365,19.319294073471436,4.354626954838144,,,19.543463295575446,4.333363487840279
18.49734025909006,4.302655465208108,19.59327867826523,4.3516157327730625,,,19.81744790036924,4.329938671498415
18.77132486388385,4.297576271759119,19.867263283059017,4.356669599105221,,,20.09143250516303,4.327134246571726
19.045309468677644,4.296426223939553,20.14124788785281,4.353658377040141,,,20.365417109956823,4.322055053122736
19.319294073471436,4.288865464829875,20.415232492646602,4.3525083292205755,,,20.639401714750615,4.320905005303171
19.59327867826523,4.2879222141487014,20.689217097440395,4.352805861369747,,,20.913386319544404,4.316032608992573
19.867263283059017,4.288219746297872,20.963201702234187,4.353103393518918,,,21.187370924338197,4.312400995512319
20.14124788785281,4.2854153213711825,21.23718630702798,4.353400925668089,,,21.46135552913199,4.306908207786549
20.415232492646602,4.27971573650702,21.51117091182177,4.353698457817259,,,21.73534013392578,4.306171754243765
20.689217097440395,4.280013268656191,21.772701670943118,4.3539824657778325,,,21.884786281995122,4.30633404450695
20.963201702234187,4.278449626559845,,,,,,
21.23718630702798,4.273784027387638,,,,,,
21.51117091182177,4.274081559536809,,,,,,
21.772701670943118,4.273910613792921,,,,,,
